"Country or Area","Year","Item","Value"
"Ireland","2008","Gross capital formation","46197269000"
"Ireland","2008","Gross fixed capital formation (including Acquisitions less disposals of valuables)","46525061000"
"Ireland","2008","Changes in inventories","-327792000"
"Ireland","2008","Exports of goods and services","157941887000"
"Ireland","2008","Imports of goods and services","141784758000"
"Ireland","2008","Gross Domestic Product (GDP)","187282983000"
"Ireland","2007","Final consumption expenditure","122256140000"
"Ireland","2007","Household consumption expenditure (including Non-profit institutions serving households)","89055860000"
"Ireland","2007","General government final consumption expenditure","33200280000"
"Ireland","2007","Gross capital formation","57639065000"
"Ireland","2007","Gross fixed capital formation (including Acquisitions less disposals of valuables)","56572874000"
"Ireland","2007","Changes in inventories","1066191000"
"Ireland","2007","Exports of goods and services","159304584000"
"Ireland","2007","Imports of goods and services","142993689000"
"Ireland","2007","Gross Domestic Product (GDP)","197069396000"
"Ireland","2006","Final consumption expenditure","111035096000"
"Ireland","2006","Household consumption expenditure (including Non-profit institutions serving households)","81029224000"
"Ireland","2006","General government final consumption expenditure","30005872000"
"Ireland","2006","Gross capital formation","58975717000"
"Ireland","2006","Gross fixed capital formation (including Acquisitions less disposals of valuables)","57299426000"
"Ireland","2006","Changes in inventories","1676291000"
"Ireland","2006","Exports of goods and services","146147954000"
"Ireland","2006","Imports of goods and services","131266731000"
"Ireland","2006","Gross Domestic Product (GDP)","184916243000"
"Ireland","2005","Final consumption expenditure","101659087000"
"Ireland","2005","Household consumption expenditure (including Non-profit institutions serving households)","74312747000"
"Ireland","2005","General government final consumption expenditure","27346340000"
"Ireland","2005","Gross capital formation","51619554000"
"Ireland","2005","Gross fixed capital formation (including Acquisitions less disposals of valuables)","50800680000"
"Ireland","2005","Changes in inventories","818874000"
"Ireland","2005","Exports of goods and services","135441047000"
"Ireland","2005","Imports of goods and services","116911998000"
"Ireland","2005","Gross Domestic Product (GDP)","170306765000"
"Ireland","2004","Final consumption expenditure","93648314000"
"Ireland","2004","Household consumption expenditure (including Non-profit institutions serving households)","68387271000"
"Ireland","2004","General government final consumption expenditure","25261043000"
"Ireland","2004","Gross capital formation","42531245000"
"Ireland","2004","Gross fixed capital formation (including Acquisitions less disposals of valuables)","42112450000"
"Ireland","2004","Changes in inventories","418795000"
"Ireland","2004","Exports of goods and services","125751102000"
"Ireland","2004","Imports of goods and services","103306494000"
"Ireland","2004","Gross Domestic Product (GDP)","156260291000"
"Ireland","2003","Final consumption expenditure","88103895000"
"Ireland","2003","Household consumption expenditure (including Non-profit institutions serving households)","64730250000"
"Ireland","2003","General government final consumption expenditure","23373645000"
"Ireland","2003","Gross capital formation","37477630000"
"Ireland","2003","Gross fixed capital formation (including Acquisitions less disposals of valuables)","36264755000"
"Ireland","2003","Changes in inventories","1212875000"
"Ireland","2003","Exports of goods and services","117685190000"
"Ireland","2003","Imports of goods and services","95630759000"
"Ireland","2003","Gross Domestic Product (GDP)","145576434000"
"Ireland","2002","Final consumption expenditure","82098531000"
"Ireland","2002","Household consumption expenditure (including Non-profit institutions serving households)","60602388000"
"Ireland","2002","General government final consumption expenditure","21496143000"
"Ireland","2002","Gross capital formation","32751825000"
"Ireland","2002","Gross fixed capital formation (including Acquisitions less disposals of valuables)","32086101000"
"Ireland","2002","Changes in inventories","665724000"
"Ireland","2002","Exports of goods and services","123009384000"
"Ireland","2002","Imports of goods and services","99645490000"
"Ireland","2002","Gross Domestic Product (GDP)","135997559000"
"Ireland","2001","Final consumption expenditure","74440918000"
"Ireland","2001","Household consumption expenditure (including Non-profit institutions serving households)","55639392000"
"Ireland","2001","General government final consumption expenditure","18801526000"
"Ireland","2001","Gross capital formation","29614245000"
"Ireland","2001","Gross fixed capital formation (including Acquisitions less disposals of valuables)","29223742000"
"Ireland","2001","Changes in inventories","390503000"
"Ireland","2001","Exports of goods and services","116258662000"
"Ireland","2001","Imports of goods and services","97202944000"
"Ireland","2001","Gross Domestic Product (GDP)","122089174000"
"Ireland","2000","Final consumption expenditure","66908335000"
"Ireland","2000","Household consumption expenditure (including Non-profit institutions serving households)","50909706000"
"Ireland","2000","General government final consumption expenditure","15998629000"
"Ireland","2000","Gross capital formation","26589972000"
"Ireland","2000","Gross fixed capital formation (including Acquisitions less disposals of valuables)","25759004000"
"Ireland","2000","Changes in inventories","830968000"
"Ireland","2000","Exports of goods and services","102408115000"
"Ireland","2000","Imports of goods and services","87409336000"
"Ireland","2000","Gross Domestic Product (GDP)","108495288000"
"Ireland","1999","Final consumption expenditure","57973810000"
"Ireland","1999","Household consumption expenditure (including Non-profit institutions serving households)","44030921000"
"Ireland","1999","General government final consumption expenditure","13942889000"
"Ireland","1999","Gross capital formation","22859416000"
"Ireland","1999","Gross fixed capital formation (including Acquisitions less disposals of valuables)","22418076000"
"Ireland","1999","Changes in inventories","441340000"
"Ireland","1999","Exports of goods and services","80226786000"
"Ireland","1999","Imports of goods and services","68118388000"
"Ireland","1999","Gross Domestic Product (GDP)","92790527000"
"Ireland","1998","Final consumption expenditure","51570438000"
"Ireland","1998","Household consumption expenditure (including Non-profit institutions serving households)","39065094000"
"Ireland","1998","General government final consumption expenditure","12505344000"
"Ireland","1998","Gross capital formation","19382188000"
"Ireland","1998","Gross fixed capital formation (including Acquisitions less disposals of valuables)","18117583000"
"Ireland","1998","Changes in inventories","1264605000"
"Ireland","1998","Exports of goods and services","67822541000"
"Ireland","1998","Imports of goods and services","59075098000"
"Ireland","1998","Gross Domestic Product (GDP)","80430814000"
"Ireland","1997","Final consumption expenditure","46022233000"
"Ireland","1997","Household consumption expenditure (including Non-profit institutions serving households)","34835648000"
"Ireland","1997","General government final consumption expenditure","11186585000"
"Ireland","1997","Gross capital formation","15427095000"
"Ireland","1997","Gross fixed capital formation (including Acquisitions less disposals of valuables)","14606359000"
"Ireland","1997","Changes in inventories","820736000"
"Ireland","1997","Exports of goods and services","53525170000"
"Ireland","1997","Imports of goods and services","45210898000"
"Ireland","1997","Gross Domestic Product (GDP)","69400729000"
"Ireland","1996","Final consumption expenditure","41696964000"
"Ireland","1996","Household consumption expenditure (including Non-profit institutions serving households)","31716949000"
"Ireland","1996","General government final consumption expenditure","9980015000"
"Ireland","1996","Gross capital formation","12348667000"
"Ireland","1996","Gross fixed capital formation (including Acquisitions less disposals of valuables)","11920776000"
"Ireland","1996","Changes in inventories","427891000"
"Ireland","1996","Exports of goods and services","45054763000"
"Ireland","1996","Imports of goods and services","38471058000"
"Ireland","1996","Gross Domestic Product (GDP)","60147567000"
"Ireland","1995","Final consumption expenditure","38126673000"
"Ireland","1995","Household consumption expenditure (including Non-profit institutions serving households)","28698349000"
"Ireland","1995","General government final consumption expenditure","9428324000"
"Ireland","1995","Gross capital formation","10334617000"
"Ireland","1995","Gross fixed capital formation (including Acquisitions less disposals of valuables)","9895751000"
"Ireland","1995","Changes in inventories","438866000"
"Ireland","1995","Exports of goods and services","40258628000"
"Ireland","1995","Imports of goods and services","34269742000"
"Ireland","1995","Gross Domestic Product (GDP)","54758740000"
"Ireland","1994","Final consumption expenditure","35930640000"
"Ireland","1994","Household consumption expenditure (including Non-profit institutions serving households)","27105068000"
"Ireland","1994","General government final consumption expenditure","8825572000"
"Ireland","1994","Gross capital formation","8005301000"
"Ireland","1994","Gross fixed capital formation (including Acquisitions less disposals of valuables)","8231959000"
"Ireland","1994","Changes in inventories","-226658000"
"Ireland","1994","Exports of goods and services","32944245000"
"Ireland","1994","Imports of goods and services","28372402000"
"Ireland","1994","Gross Domestic Product (GDP)","48483488000"
"Ireland","1993","Final consumption expenditure","33605184000"
"Ireland","1993","Household consumption expenditure (including Non-profit institutions serving households)","25318249000"
"Ireland","1993","General government final consumption expenditure","8286935000"
"Ireland","1993","Gross capital formation","6972550000"
"Ireland","1993","Gross fixed capital formation (including Acquisitions less disposals of valuables)","7170338000"
"Ireland","1993","Changes in inventories","-197788000"
"Ireland","1993","Exports of goods and services","28561894000"
"Ireland","1993","Imports of goods and services","23995353000"
"Ireland","1993","Gross Domestic Product (GDP)","45080835000"
"Ireland","1992","Final consumption expenditure","31850469000"
"Ireland","1992","Household consumption expenditure (including Non-profit institutions serving households)","24091915000"
"Ireland","1992","General government final consumption expenditure","7758554000"
"Ireland","1992","Gross capital formation","6942922000"
"Ireland","1992","Gross fixed capital formation (including Acquisitions less disposals of valuables)","7221143000"
"Ireland","1992","Changes in inventories","-278221000"
"Ireland","1992","Exports of goods and services","24373772000"
"Ireland","1992","Imports of goods and services","21341741000"
"Ireland","1992","Gross Domestic Product (GDP)","41738528000"
"Ireland","1991","Final consumption expenditure","29911051000"
"Ireland","1991","Household consumption expenditure (including Non-profit institutions serving households)","22764790000"
"Ireland","1991","General government final consumption expenditure","7146261000"
"Ireland","1991","Gross capital formation","7726924000"
"Ireland","1991","Gross fixed capital formation (including Acquisitions less disposals of valuables)","6908529000"
"Ireland","1991","Changes in inventories","818395000"
"Ireland","1991","Exports of goods and services","21831079000"
"Ireland","1991","Imports of goods and services","19975828000"
"Ireland","1991","Gross Domestic Product (GDP)","39283500000"
"Ireland","1990","Final consumption expenditure","28287503000"
"Ireland","1990","Household consumption expenditure (including Non-profit institutions serving households)","21777125000"
"Ireland","1990","General government final consumption expenditure","6510378000"
"Ireland","1990","Gross capital formation","8148428000"
"Ireland","1990","Gross fixed capital formation (including Acquisitions less disposals of valuables)","7272201000"
"Ireland","1990","Changes in inventories","876227000"
"Ireland","1990","Exports of goods and services","20707363000"
"Ireland","1990","Imports of goods and services","19048307000"
"Ireland","1990","Gross Domestic Product (GDP)","37857851000"
"Ireland","1989","Final consumption expenditure","26913562000"
"Ireland","1989","Household consumption expenditure (including Non-profit institutions serving households)","21038230000"
"Ireland","1989","General government final consumption expenditure","5875332000"
"Ireland","1989","Gross capital formation","6471778000"
"Ireland","1989","Gross fixed capital formation (including Acquisitions less disposals of valuables)","6267301000"
"Ireland","1989","Changes in inventories","204477000"
"Ireland","1989","Exports of goods and services","20715439000"
"Ireland","1989","Imports of goods and services","18820254000"
"Ireland","1989","Gross Domestic Product (GDP)","35159171000"
"Ireland","1988","Final consumption expenditure","24644660000"
"Ireland","1988","Household consumption expenditure (including Non-profit institutions serving households)","18978555000"
"Ireland","1988","General government final consumption expenditure","5666105000"
"Ireland","1988","Gross capital formation","5136841000"
"Ireland","1988","Gross fixed capital formation (including Acquisitions less disposals of valuables)","5381070000"
"Ireland","1988","Changes in inventories","-244229000"
"Ireland","1988","Exports of goods and services","17502553000"
"Ireland","1988","Imports of goods and services","15624107000"
"Ireland","1988","Gross Domestic Product (GDP)","31488631000"
"Ireland","1987","Final consumption expenditure","23214911000"
"Ireland","1987","Household consumption expenditure (including Non-profit institutions serving households)","17492457000"
"Ireland","1987","General government final consumption expenditure","5722454000"
"Ireland","1987","Gross capital formation","4850872000"
"Ireland","1987","Gross fixed capital formation (including Acquisitions less disposals of valuables)","4866696000"
"Ireland","1987","Changes in inventories","-15824000"
"Ireland","1987","Exports of goods and services","15197946000"
"Ireland","1987","Imports of goods and services","13999428000"
"Ireland","1987","Gross Domestic Product (GDP)","28986222000"
"Ireland","1986","Final consumption expenditure","22199634000"
"Ireland","1986","Household consumption expenditure (including Non-profit institutions serving households)","16529687000"
"Ireland","1986","General government final consumption expenditure","5669947000"
"Ireland","1986","Gross capital formation","4980338000"
"Ireland","1986","Gross fixed capital formation (including Acquisitions less disposals of valuables)","4813674000"
"Ireland","1986","Changes in inventories","166664000"
"Ireland","1986","Exports of goods and services","13303443000"
"Ireland","1986","Imports of goods and services","13012772000"
"Ireland","1986","Gross Domestic Product (GDP)","27099305000"
"Ireland","1985","Final consumption expenditure","20778821000"
"Ireland","1985","Household consumption expenditure (including Non-profit institutions serving households)","15494672000"
"Ireland","1985","General government final consumption expenditure","5284149000"
"Ireland","1985","Gross capital formation","5000341000"
"Ireland","1985","Gross fixed capital formation (including Acquisitions less disposals of valuables)","4803745000"
"Ireland","1985","Changes in inventories","196596000"
"Ireland","1985","Exports of goods and services","13800675000"
"Ireland","1985","Imports of goods and services","13720395000"
"Ireland","1985","Gross Domestic Product (GDP)","25542897000"
"Ireland","1984","Final consumption expenditure","19020756000"
"Ireland","1984","Household consumption expenditure (including Non-profit institutions serving households)","14111679000"
"Ireland","1984","General government final consumption expenditure","4909077000"
"Ireland","1984","Gross capital formation","5259113000"
"Ireland","1984","Gross fixed capital formation (including Acquisitions less disposals of valuables)","4988008000"
"Ireland","1984","Changes in inventories","271105000"
"Ireland","1984","Exports of goods and services","12556116000"
"Ireland","1984","Imports of goods and services","12952989000"
"Ireland","1984","Gross Domestic Product (GDP)","23556610000"
"Ireland","1983","Final consumption expenditure","17460616000"
"Ireland","1983","Household consumption expenditure (including Non-profit institutions serving households)","12886591000"
"Ireland","1983","General government final consumption expenditure","4574025000"
"Ireland","1983","Gross capital formation","4959490000"
"Ireland","1983","Gross fixed capital formation (including Acquisitions less disposals of valuables)","4849846000"
"Ireland","1983","Changes in inventories","109644000"
"Ireland","1983","Exports of goods and services","9962128000"
"Ireland","1983","Imports of goods and services","10774296000"
"Ireland","1983","Gross Domestic Product (GDP)","21219988000"
"Ireland","1982","Final consumption expenditure","15934295000"
"Ireland","1982","Household consumption expenditure (including Non-profit institutions serving households)","11698203000"
"Ireland","1982","General government final consumption expenditure","4236092000"
"Ireland","1982","Gross capital formation","5235025000"
"Ireland","1982","Gross fixed capital formation (including Acquisitions less disposals of valuables)","5031981000"
"Ireland","1982","Changes in inventories","203044000"
"Ireland","1982","Exports of goods and services","8267887000"
"Ireland","1982","Imports of goods and services","9784917000"
"Ireland","1982","Gross Domestic Product (GDP)","19214318000"
"Ireland","1981","Final consumption expenditure","14569262000"
"Ireland","1981","Household consumption expenditure (including Non-profit institutions serving households)","10950927000"
"Ireland","1981","General government final consumption expenditure","3618335000"
"Ireland","1981","Gross capital formation","4539285000"
"Ireland","1981","Gross fixed capital formation (including Acquisitions less disposals of valuables)","4777644000"
"Ireland","1981","Changes in inventories","-238359000"
"Ireland","1981","Exports of goods and services","7073064000"
"Ireland","1981","Imports of goods and services","9392570000"
"Ireland","1981","Gross Domestic Product (GDP)","16309262000"
"Ireland","1980","Final consumption expenditure","11980828000"
"Ireland","1980","Household consumption expenditure (including Non-profit institutions serving households)","9002981000"
"Ireland","1980","General government final consumption expenditure","2977847000"
"Ireland","1980","Gross capital formation","3668448000"
"Ireland","1980","Gross fixed capital formation (including Acquisitions less disposals of valuables)","3797604000"
"Ireland","1980","Changes in inventories","-129156000"
"Ireland","1980","Exports of goods and services","5961392000"
"Ireland","1980","Imports of goods and services","7786099000"
"Ireland","1980","Gross Domestic Product (GDP)","13440101000"
"Ireland","1979","Final consumption expenditure","9850859000"
"Ireland","1979","Household consumption expenditure (including Non-profit institutions serving households)","7559604000"
"Ireland","1979","General government final consumption expenditure","2291255000"
"Ireland","1979","Gross capital formation","3682253000"
"Ireland","1979","Gross fixed capital formation (including Acquisitions less disposals of valuables)","3424255000"
"Ireland","1979","Changes in inventories","257998000"
"Ireland","1979","Exports of goods and services","5058817000"
"Ireland","1979","Imports of goods and services","6908762000"
"Ireland","1979","Gross Domestic Product (GDP)","11367092000"
"Ireland","1978","Final consumption expenditure","8150239000"
"Ireland","1978","Household consumption expenditure (including Non-profit institutions serving households)","6300010000"
"Ireland","1978","General government final consumption expenditure","1850229000"
"Ireland","1978","Gross capital formation","2763380000"
"Ireland","1978","Gross fixed capital formation (including Acquisitions less disposals of valuables)","2651032000"
"Ireland","1978","Changes in inventories","112348000"
"Ireland","1978","Exports of goods and services","4335908000"
"Ireland","1978","Imports of goods and services","5336076000"
"Ireland","1978","Gross Domestic Product (GDP)","9701419000"
"Ireland","1977","Final consumption expenditure","6906211000"
"Ireland","1977","Household consumption expenditure (including Non-profit institutions serving households)","5348773000"
"Ireland","1977","General government final consumption expenditure","1557438000"
"Ireland","1977","Gross capital formation","2242596000"
"Ireland","1977","Gross fixed capital formation (including Acquisitions less disposals of valuables)","2003345000"
"Ireland","1977","Changes in inventories","239251000"
"Ireland","1977","Exports of goods and services","3620325000"
"Ireland","1977","Imports of goods and services","4403576000"
"Ireland","1977","Gross Domestic Product (GDP)","8188947000"
"Ireland","1976","Final consumption expenditure","5732930000"
"Ireland","1976","Household consumption expenditure (including Non-profit institutions serving households)","4389201000"
"Ireland","1976","General government final consumption expenditure","1343729000"
"Ireland","1976","Gross capital formation","1664480000"
"Ireland","1976","Gross fixed capital formation (including Acquisitions less disposals of valuables)","1651132000"
"Ireland","1976","Changes in inventories","13348000"
"Ireland","1976","Exports of goods and services","2766201000"
"Ireland","1976","Imports of goods and services","3328548000"
"Ireland","1976","Gross Domestic Product (GDP)","6681068000"
"Ireland","1975","Final consumption expenditure","4684722000"
"Ireland","1975","Household consumption expenditure (including Non-profit institutions serving households)","3555663000"
"Ireland","1975","General government final consumption expenditure","1129059000"
"Ireland","1975","Gross capital formation","1246388000"
"Ireland","1975","Gross fixed capital formation (including Acquisitions less disposals of valuables)","1222462000"
"Ireland","1975","Changes in inventories","23926000"
"Ireland","1975","Exports of goods and services","2080691000"
"Ireland","1975","Imports of goods and services","2440126000"
"Ireland","1975","Gross Domestic Product (GDP)","5444557000"
"Ireland","1974","Final consumption expenditure","3810337000"
"Ireland","1974","Household consumption expenditure (including Non-profit institutions serving households)","2988956000"
"Ireland","1974","General government final consumption expenditure","821381000"
"Ireland","1974","Gross capital formation","1221032000"
"Ireland","1974","Gross fixed capital formation (including Acquisitions less disposals of valuables)","1043731000"
"Ireland","1974","Changes in inventories","177301000"
"Ireland","1974","Exports of goods and services","1634351000"
"Ireland","1974","Imports of goods and services","2254576000"
"Ireland","1974","Gross Domestic Product (GDP)","4289455000"
"Ireland","1973","Final consumption expenditure","3218236000"
"Ireland","1973","Household consumption expenditure (including Non-profit institutions serving households)","2541409000"
"Ireland","1973","General government final consumption expenditure","676827000"
"Ireland","1973","Gross capital formation","1020719000"
"Ireland","1973","Gross fixed capital formation (including Acquisitions less disposals of valuables)","967700000"
"Ireland","1973","Changes in inventories","53019000"
"Ireland","1973","Exports of goods and services","1319099000"
"Ireland","1973","Imports of goods and services","1598157000"
"Ireland","1973","Gross Domestic Product (GDP)","3878098000"
"Ireland","1972","Final consumption expenditure","2674671000"
"Ireland","1972","Household consumption expenditure (including Non-profit institutions serving households)","2125590000"
"Ireland","1972","General government final consumption expenditure","549081000"
"Ireland","1972","Gross capital formation","789698000"
"Ireland","1972","Gross fixed capital formation (including Acquisitions less disposals of valuables)","751379000"
"Ireland","1972","Changes in inventories","38319000"
"Ireland","1972","Exports of goods and services","993694000"
"Ireland","1972","Imports of goods and services","1178624000"
"Ireland","1972","Gross Domestic Product (GDP)","3212604000"
"Ireland","1971","Final consumption expenditure","2295785000"
"Ireland","1971","Household consumption expenditure (including Non-profit institutions serving households)","1843553000"
"Ireland","1971","General government final consumption expenditure","452232000"
"Ireland","1971","Gross capital formation","626152000"
"Ireland","1971","Gross fixed capital formation (including Acquisitions less disposals of valuables)","621586000"
"Ireland","1971","Changes in inventories","4566000"
"Ireland","1971","Exports of goods and services","859908000"
"Ireland","1971","Imports of goods and services","1060907000"
"Ireland","1971","Gross Domestic Product (GDP)","2660683000"
"Ireland","1970","Final consumption expenditure","2011571000"
"Ireland","1970","Household consumption expenditure (including Non-profit institutions serving households)","1631696000"
"Ireland","1970","General government final consumption expenditure","379875000"
"Ireland","1970","Gross capital formation","558536000"
"Ireland","1970","Gross fixed capital formation (including Acquisitions less disposals of valuables)","522717000"
"Ireland","1970","Changes in inventories","35819000"
"Ireland","1970","Exports of goods and services","769689000"
"Ireland","1970","Imports of goods and services","961402000"
"Ireland","1970","Gross Domestic Product (GDP)","2326285000"
"United Kingdom of Great Britain and Northern Ireland","2021","Final consumption expenditure","1885657000000"
"United Kingdom of Great Britain and Northern Ireland","2021","Household consumption expenditure (including Non-profit institutions serving households)","1376108000000"
"United Kingdom of Great Britain and Northern Ireland","2021","General government final consumption expenditure","509549000000"
"United Kingdom of Great Britain and Northern Ireland","2021","Gross capital formation","411905000000"
"United Kingdom of Great Britain and Northern Ireland","2021","Gross fixed capital formation (including Acquisitions less disposals of valuables)","403616000000"
"United Kingdom of Great Britain and Northern Ireland","2021","Changes in inventories","8289000000"
"United Kingdom of Great Britain and Northern Ireland","2021","Exports of goods and services","636325000000"
"United Kingdom of Great Britain and Northern Ireland","2021","Imports of goods and services","653897000000"
"United Kingdom of Great Britain and Northern Ireland","2021","Gross Domestic Product (GDP)","2276715000000"
"United Kingdom of Great Britain and Northern Ireland","2020","Final consumption expenditure","1737997000000"
"United Kingdom of Great Britain and Northern Ireland","2020","Household consumption expenditure (including Non-profit institutions serving households)","1262883000000"
"United Kingdom of Great Britain and Northern Ireland","2020","General government final consumption expenditure","475114000000"
"United Kingdom of Great Britain and Northern Ireland","2020","Gross capital formation","364040000000"
"United Kingdom of Great Britain and Northern Ireland","2020","Gross fixed capital formation (including Acquisitions less disposals of valuables)","368505000000"
